Index,File,Ext,Lines,Imports,Exports,FunctionSites,BrowserGlobalRefs,FindingCount,MaxScore,TopFinding,EvidenceLine,RequiredHardFix
317,bobercad/data/libraries/smart-components/components/stairs/supports/spiral-column/config.json,.json,36,0,0,0,0,0,0,none,,
318,bobercad/data/libraries/smart-components/components/stairs/supports/twin-stringer/build.mjs,.mjs,6,1,1,1,0,0,0,none,,
319,bobercad/data/libraries/smart-components/components/stairs/supports/twin-stringer/config.json,.json,35,0,0,0,0,0,0,none,,
320,bobercad/data/libraries/smart-components/components/stairs/treads/folded-tray-tread/build.mjs,.mjs,6,1,1,1,0,0,0,none,,
321,bobercad/data/libraries/smart-components/components/stairs/treads/folded-tray-tread/config.json,.json,116,0,0,0,0,0,0,none,,
322,bobercad/data/libraries/smart-components/components/stairs/treads/grating-tread/build.mjs,.mjs,6,1,1,1,0,0,0,none,,
323,bobercad/data/libraries/smart-components/components/stairs/treads/grating-tread/config.json,.json,90,0,0,0,0,0,0,none,,
324,bobercad/data/libraries/smart-components/components/stairs/treads/pan-tread/build.mjs,.mjs,6,1,1,1,0,0,0,none,,
325,bobercad/data/libraries/smart-components/components/stairs/treads/pan-tread/config.json,.json,97,0,0,0,0,0,0,none,,
326,bobercad/data/libraries/smart-components/components/stairs/treads/plate-tread/build.mjs,.mjs,6,1,1,1,0,0,0,none,,
327,bobercad/data/libraries/smart-components/components/stairs/treads/plate-tread/config.json,.json,90,0,0,0,0,0,0,none,,
328,bobercad/data/libraries/smart-components/components/stairs/treads/shared/tread-set.mjs,.mjs,398,0,1,27,0,0,0,none,,
329,bobercad/data/libraries/smart-components/smart-component-register.json,.json,29,0,0,0,0,0,0,none,,
330,bobercad/data/projects/sample_authoring_nc1_test.json,.json,2634,0,0,0,0,0,0,none,,
331,bobercad/data/projects/sample_beam_to_beam_end_plate.json,.json,1629,0,0,0,0,0,0,none,,
332,bobercad/data/projects/sample_beam_to_beam_fin_plate.json,.json,1667,0,0,0,0,0,0,none,,
333,bobercad/data/projects/sample_beam_to_column_fin_plate.json,.json,1325,0,0,0,0,0,0,none,,
334,bobercad/data/projects/sample_boolean_beam.json,.json,540,0,0,0,0,0,0,none,,
335,bobercad/data/projects/sample_connection_test_frame.json,.json,1183,0,0,0,0,0,0,none,,
336,bobercad/data/projects/sample_portal_frame.json,.json,4074,0,0,0,0,0,0,none,,
337,bobercad/data/projects/sample_seed_connection_structure.json,.json,2742,0,0,0,0,0,0,none,,
338,bobercad/data/projects/sample_stair_all_variants.json,.json,332205,0,0,0,0,0,0,none,,
339,bobercad/data/projects/sample_stair_compliance_failures.json,.json,15373,0,0,0,0,0,0,none,,
340,bobercad/data/projects/sample_stair_curved.json,.json,28289,0,0,0,0,0,0,none,,
341,bobercad/data/projects/sample_stair_glass_rail.json,.json,17053,0,0,0,0,0,0,none,,
342,bobercad/data/projects/sample_stair_grating_treads.json,.json,14730,0,0,0,0,0,0,none,,
343,bobercad/data/projects/sample_stair_helical.json,.json,62033,0,0,0,0,0,0,none,,
344,bobercad/data/projects/sample_stair_l_shape.json,.json,24410,0,0,0,0,0,0,none,,
345,bobercad/data/projects/sample_stair_manual_station_split.json,.json,19587,0,0,0,0,0,0,none,,
346,bobercad/data/projects/sample_stair_max_weight_transport_split.json,.json,29745,0,0,0,0,0,0,none,,
347,bobercad/data/projects/sample_stair_mono_stringer.json,.json,11191,0,0,0,0,0,0,none,,
348,bobercad/data/projects/sample_stair_spiral.json,.json,25578,0,0,0,0,0,0,none,,
349,bobercad/data/projects/sample_stair_straight_basic.json,.json,16403,0,0,0,0,0,0,none,,
350,bobercad/data/projects/sample_stair_straight_with_landing.json,.json,22759,0,0,0,0,0,0,none,,
351,bobercad/data/projects/sample_stair_tread_variants.json,.json,5033,0,0,0,0,0,0,none,,
352,bobercad/data/projects/sample_stair_treads_and_landings_only_all_variants.json,.json,67472,0,0,0,0,0,0,none,,
353,bobercad/data/projects/sample_stair_u_switchback.json,.json,29055,0,0,0,0,0,0,none,,
